album_name,artist_name,album_id,cover_url
Blackout,Britney Spears,1ePkYcH5ZQCb1b4tQeiEDj,https://i.scdn.co/image/ab67616d0000b273d0a8bfe18f25429d76886b1e
Magic,Kylie Minogue,66qiEJFWmxiQpPvdBwhuUf,https://i.scdn.co/image/ab67616d0000b27333aedc31aaf889be2031462b
Our Beats,Cavi,,
Norman Fucking Rockwell!,Lana Del Rey,5XpEKORZ4y6OrCZSKsi46A,https://i.scdn.co/image/ab67616d0000b273879e9318cb9f4e05ee552ac9
BROTHER STONE (FEAT. KODAK BLACK),Don Toliver,0LWTY98ijfILoFHupcQJKE,https://i.scdn.co/image/ab67616d0000b273425df4cea3b06aefc199a069
Roll the Dice,archipelago beats,3nMVDaZSI4Aq84JdcbzjhN,https://i.scdn.co/image/ab67616d0000b2737f46f88bc6a6f8e3740b1192
Settle (The Remixes),Disclosure,,
Sunday Left Overs,West Sun,5CMa6c6y5ZIu8Q3hofDNTr,https://i.scdn.co/image/ab67616d0000b273f370387f61409f1123f6d566
Crystals,Mike Oliver,2vNj0Ps06Qzx7eOADRP1NC,https://i.scdn.co/image/ab67616d0000b27322afd576419552cc2a11cd2a
Japanese Posters,Rebounder,,
Līgo dziesmas jaunās skaņās 6,Dainis Porgants,,
Magnolias for Ever,Claude François,3Q7plxq5RjD1ba3L6vslrM,https://i.scdn.co/image/ab67616d0000b273eaf10649555a47b3417c5358
If the World Was Ending (feat. Julia Michaels),JP Saxe,7BrlhEO8dHiNmU8A1Ep9RZ,https://i.scdn.co/image/ab67616d0000b27329263dfeae142e9d08814431
Popular,The Weeknd,5O0zUvdnJr0RbWzLFneN2i,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d
Someone You Loved,The Scientists,2PAFnMZ7obGYFwANNG4lf8,https://i.scdn.co/image/ab67616d0000b2739b42fa453bc5576bfb586527
A Kiss / Forever Always,THE DRIVER ERA,42cSoJ76X0diZBIYDP23D7,https://i.scdn.co/image/ab67616d0000b273dc9f35da02cbe22e6c2dc815
Si Antes Te Hubiera Conocido,KAROL G,5ylbxH7EqpsmHZCRuiYewS,https://i.scdn.co/image/ab67616d0000b273491678beaffcefac517a699e
b2b,aroramo,6ibBA9oOJih8Hh7TX8f8HQ,https://i.scdn.co/image/ab67616d0000b27320b90e3c27f65dbf8b9fd77e
happiness,morningtime,1beor7dgoMwOu8DWdzeOP5,https://i.scdn.co/image/ab67616d0000b27300d841b9ba1b73e35c844e66
C'est La Vie,Yung Gravy,,
Rocketship,Llunr,4za3vqGRKS1vFTQAhYnLwQ,https://i.scdn.co/image/ab67616d0000b273d611bba93d5b0bc14bee8d2f
Hannah Montana The Movie,Hannah Montana,4CxUNoyQ0NF5dnG5iOPViD,https://i.scdn.co/image/ab67616d0000b2731da7b50c0482e912ef162538
All In a Night's Work (Expanded Version),KC & The Sunshine Band,52BJ1S5NOv7eFD6ZFDZga2,https://i.scdn.co/image/ab67616d0000b273ed1e6f4480313f95ac380159
Nāk nakts,Jenny May,6sObTAhYTbXK8I0cs3hqKs,https://i.scdn.co/image/ab67616d0000b273b3a154e9aca17953437e775d
The Only Way Out Is In,The Leers,5TTuqJTnKuRfBQRpL71aRb,https://i.scdn.co/image/ab67616d0000b2735c044579381d445275d86492
"C,XOXO",Camila Cabello,004ywPlW72Hgn1Bo9PlNOr,https://i.scdn.co/image/ab67616d0000b2738ef2562a1156ea6766e00ecb
Take Me Home,Ocie Elliott,3gLD93wFP8Js0aObN5mJBv,https://i.scdn.co/image/ab67616d0000b2735cdd106c363d6ded93b38fcf
A Melhor Banda De Todos Os Tempos Da Última Semana,Titãs,71XhBGySJjyGOSHGVelZ4K,https://i.scdn.co/image/ab67616d0000b273d085bdb7982ee883d6f66852
Skyline,Jobii,2BntGEbtCaUZt1v7REPII0,https://i.scdn.co/image/ab67616d0000b2731afdbd6ce3aee71ef4d48a9b
SUN GOES DOWN,Lil Nas X,30jNiJYIOY3ok6LzaO0Wv0,https://i.scdn.co/image/ab67616d0000b2736ef577667129d9351056d6d9
Static,Matt Paull,3eWjhOeg26lTnxqHBC00TH,https://i.scdn.co/image/ab67616d0000b273de7b9b881f0610435bd4d39f
bookworn,yellow sofa,3jSoRUUVr4fHrpaFVRB3V9,https://i.scdn.co/image/ab67616d0000b27335fe1d95d29798f03e747373
It Won't Be Soon Before Long,Maroon 5,2RUHJZ3raiIDsR3yX4JXf5,https://i.scdn.co/image/ab67616d0000b273515b72d7c72fc65b017a87ea
We Know The Way,Opetaia Foa'i,6K0vZ5AXQByvR5qseCja7V,https://i.scdn.co/image/ab67616d0000b27358a45f97225f60780627a895
Another Place,Bastille,3PshhNStqCBXDzWm5O1VsE,https://i.scdn.co/image/ab67616d0000b27324c39b52de69d4d017f7c7e3
When You're Gone,Paradigm,1WJGRLRnzD0lFOQ9GKUBif,https://i.scdn.co/image/ab67616d0000b273841cac4d8ecbb06783a2a2e9
Cali Cruise,Erwin Do,1OvAqsuXdcAqdShaQSM2JC,https://i.scdn.co/image/ab67616d0000b2737385a85976d7ce4bab646312
I Love You.,The Neighbourhood,4xkM0BwLM9H2IUcbYzpcBI,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921
Pull Up,Luh Kel,4OugXWjxT1agjHXpJVpmWH,https://i.scdn.co/image/ab67616d0000b2732646c1c43fe9048be9d952b3
Dzeguzes balss,Carnival Youth,6FNnDnux58cTkSDZQDeat9,https://i.scdn.co/image/ab67616d0000b273864c20d320191f049bb4f68d
Romantic Mashup 2,Mithoon,,
18 Months,Calvin Harris,7w19PFbxAjwZ7UVNp9z0uT,https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b
Flowers,Miley Cyrus,4AbWldaj4bQbYnanheHxoY,https://i.scdn.co/image/ab67616d0000b273f299936a232e55d07b5dacf6
How To Ruin Your Life Fast,Couch Dog,1wgAdDMKwmV4t4S6BbRG2R,https://i.scdn.co/image/ab67616d0000b273c995985378b267da18162d2b
Brat and it’s the same but there’s three more songs so it’s not,Charli xcx,316O0Xetgx2NJLRgJBw4uq,https://i.scdn.co/image/ab67616d0000b273df174e0dcb15de7b625a7194
Nek,Nek,04HNYs9ilzC2h31dq7pVcP,https://i.scdn.co/image/ab67616d0000b273bd1a8fb002a22967a0be9de0
trampoline,yellow sofa,3kqC8uFWnvp56XjOIJ8LIB,https://i.scdn.co/image/ab67616d0000b273689e352a46805be0ce54c3c5
Don't Walk Away,THE DRIVER ERA,,
Paradise (feat. Benjamin Ingrosso),Ofenbach,7qQx56sQJREw7dNTRsMk1o,https://i.scdn.co/image/ab67616d0000b273a62011d26f963ebe41c87159
Marina,TonybtM,1KiNooBl2gejte6EuLFtpj,https://i.scdn.co/image/ab67616d0000b273034ad09d6169c591cceb3fc6
Fresh Orange,MrAnthony,41DkWIGqvO1mTTy8xjs2Vv,https://i.scdn.co/image/ab67616d0000b273a6786b34eb758cb99917fa9c
Dynamite,BTS,7cvsViO3Tg4w5ixs5Aq7mS,https://i.scdn.co/image/ab67616d0000b273ca8a9f328a1971cc6352b963
"EVERYDAY (feat. Shiva, ANNA, Geolier)",Takagi & Ketra,7qm8bQi1fUSQoo1jUjjLIs,https://i.scdn.co/image/ab67616d0000b273051b11234993ada0abf29f23
The Heist,Macklemore & Ryan Lewis,5QWHes9ODwn42DHTifGkXd,https://i.scdn.co/image/ab67616d0000b2732a6b364528b128a4a17d100d
QUARTER LIFE CRISIS,Taylor Bickett,4M0eVLxo9kM7QkAFd8rAEZ,https://i.scdn.co/image/ab67616d0000b273895c00dbb567a4a57f9f4260
Good Luck,Carnival Youth,6woD12nfiUUAVH6Qs96sCL,https://i.scdn.co/image/ab67616d0000b273bc97f870cad023d028f03527
Sunrise / Radiance,Showyou,,
MDNGHT (SIDE B),TOKYO’S REVENGE,5VjsHQk3SJS1TwpCmNdjqq,https://i.scdn.co/image/ab67616d0000b273b80cb3cd20ece0af05acdd6e
The Forever Story,JID,4rJDCELWL0fjdmN9Gn4f4g,https://i.scdn.co/image/ab67616d0000b273cae6e44dcc84e2035c3ad092
I grandi successi di Tony Dallara: le più belle canzoni di sempre,Tony Dallara,,
Ma Baker,Gerry Read,0hWvJRAX4Di5ImH3BI06vK,https://i.scdn.co/image/ab67616d0000b2738fe65baf69a2eebb9fda3ce9
Flow,FreakBeats,3ZqFAQIeRWUaK6IEt5DT2E,https://i.scdn.co/image/ab67616d0000b273120ec14434ade215f56f6807
Breeze,furozun,4ySIUffu45EVKJH20DokXQ,https://i.scdn.co/image/ab67616d0000b273f2cee19681c4e85dfba8ae02
The Craving,Twenty One Pilots,7K7eWZNR5t9UBlrN2ltzLI,https://i.scdn.co/image/ab67616d0000b273cc44556f98351de3b6047498
Catch 22,flâneur,6vDjugBnzSLoFikVhjvcea,https://i.scdn.co/image/ab67616d0000b2736d37ffe06b9654ec636a5e56
Seeing Diamonds Remixes,Dance STASH,3fV7mPkte4YnmrCS7pnNOR,https://i.scdn.co/image/ab67616d0000b2739bf50fd066fbd0212e6cd810
Don't Feed The Pop Monster,BROODS,3KzbSN2H2bqf9b8NKiCIL0,https://i.scdn.co/image/ab67616d0000b273ce693fecd1eaf0ebff48c773
Ewreka,Redmoo,34BU4llTcSkoRilnkdDBBl,https://i.scdn.co/image/ab67616d0000b2734c5104ff257ad391b85d538d
Yurnero,VØJ,2HKKoXqWZuFr8GTo83Nq39,https://i.scdn.co/image/ab67616d0000b273adf817c6e22e290c8fa7745d
The Chic Organization 1977-1979,CHIC,3Jhtxnrjbk5oxleA3oafAy,https://i.scdn.co/image/ab67616d0000b273b7ff955881d0c4fe6b4af092
murmur,snarewallet,3QLGlgC8ixHb5IXUp1my7e,https://i.scdn.co/image/ab67616d0000b27371ee663771d85a35db72e34c
Reverie,gknister,26kYzDDE0R8JjovmxKns7L,https://i.scdn.co/image/ab67616d0000b2735a0e2f131052ae78ad073f6b
Americana,The Offspring,2RNTBrSO8U8XjjEj9RVvZ5,https://i.scdn.co/image/ab67616d0000b273cbd2ee7dff77bfb2b5f0af52
Project Baby 2: All Grown Up,Kodak Black,51wp3EOOp2mBIjhZjR7W0i,https://i.scdn.co/image/ab67616d0000b273583ce93dc89d84218f233ea7
TROLLS Band Together (Original Motion Picture Soundtrack),*NSYNC,,
Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi,08eM9GRdr5BCCHNqS3Wwud,https://i.scdn.co/image/ab67616d0000b27359e842b6a3566a141f27f815
Cuz I Love You,Lizzo,6dFFcYQ8VhifgdKgYY5LYL,https://i.scdn.co/image/ab67616d0000b27306af802e2ea241b6ba1ce0f2
Tik Tok Viral Songs 2020 (Inspired),Vibe2Vibe,,
